"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,148404515,162525667
2020,148401643,162528784
2020,148401683,162528798
2020,148401718,162528879
2020,148404668,162528898
2020,148404735,162528990
2020,148401938,162526038
2020,148401970,162526049
2020,148404962,162526098
2020,148405121,162529380
2020,148405119,162529380
2020,148405202,162529466
2020,148402182,162531291
2020,148402190,162531307
2020,148402221,162529507
2020,148402234,162531350
2020,148402234,162529518
2020,148405283,162531341
2020,148405284,162531341
2020,148402227,162531341
2020,148405348,162529602
2020,148405350,162529621
2020,148402319,162529596
2020,148405347,162531407
2020,148402359,162531476
2020,148405434,162529690
2020,148402379,162529722
2020,148405519,162529773
2020,148405562,162529816
2020,148405568,162531547
2020,148402492,162531595
2020,148402492,162531592
2020,148402505,162531635
2020,148405643,162531684
2020,148405643,162531683
2020,148405669,162529928
2020,148405773,162530003
2020,148405773,162530002
2020,148405774,162530003
2020,148405774,162530002
2020,148402712,162530112
2020,148406014,162530205
2020,148406014,162530204
2020,148406035,162531982
2020,148402806,162531986
2020,148406065,162532004
2020,148406070,162530315
2020,148402859,162530356
2020,148406151,162532126
2020,148408005,162532186
2020,148406251,162530494
2020,148406260,162532216
2020,148406258,162532219
2020,148406267,162530503
2020,148406274,162530517
2020,148408040,162532244
2020,148406293,162532253
2020,148406293,162530533
2020,148408062,162530554
2020,148406328,162530567
2020,148406328,162532261
2020,148408108,162532304
2020,148408075,162530574
2020,148406415,162530651
2020,148408203,162530671
2020,148406443,162530675
2020,133536715,147376055
2020,138289910,152396000
2020,138291658,152397848
2020,138291658,152397846
2020,138298436,152404899
2020,138933466,153013500
2020,138289846,152395935
2020,138289989,152396068
2020,138290742,152396862
2020,138290742,152396867
2020,138291553,152397725
2020,138291553,152397727
2020,138291046,152397188
2020,138924412,153017434
2020,138934184,153017434
2020,138924415,153017434
2020,148429381,162558337
2020,148429609,162554499
2020,148433788,162558567
2020,148433900,162554734
2020,148433905,162558680
2020,148433934,162554794
2020,148433953,162554845
2020,148433953,162558735
2020,148434018,162558802
2020,148430098,162555024
2020,148434097,162558858
2020,148434097,162555043
2020,148430193,162555119
2020,148434168,162555172
2020,148430257,162555191
2020,148434183,162555196
2020,138289868,152395957
2020,148430269,162555196
2020,148430282,162555214
2020,148434229,162555245
2020,148434254,162559038
2020,148434663,162555884
2020,148434663,162559461
2020,138291534,152397709
2020,138291534,152397707
2020,138292431,152398707
2020,139901910,153994866
2020,139901919,153994877
2020,149581767,163839199
2020,138290974,152397101
2020,138290974,152397099
2020,138296401,152402831
2020,138296401,152402826
2020,138297478,152403943
2020,148378320,162497729
2020,148374343,162497728
2020,148374410,162501575
2020,148378437,162501579
2020,148378481,162501644
2020,148374775,162502046
2020,148374775,162502047
2020,148374800,162498136
2020,148374798,162502085
2020,148374933,162498279
2020,148374975,162498302
2020,148379102,162498420
2020,148379100,162502305
2020,148375089,162502305
2020,148379586,162498835
2020,148375559,162503015
2020,148375200,162498571
2020,148379523,162502830
2020,148375574,162503035
2020,148375525,162498880
2020,148379736,162503076
2020,148375607,162503076
2020,148379907,162503237
2020,148375858,162503348
2020,148375899,162503365
2020,148380084,162503446
2020,148380102,162499246
2020,148380110,162503471
2020,148375978,162503519
2020,148380200,162503555
2020,148380213,162503460
2020,148380285,162503628
2020,148380309,162499401
2020,148380404,162499486
2020,148376152,162499518
2020,148380457,162499455
2020,148380514,162499522
2020,148380514,162499521
2020,148376191,162499561
2020,148380546,162503901
2020,148376249,162499619
2020,148380644,162504010
2020,148376289,162504010
2020,148380732,162499727
2020,148377473,162505562
2020,148382235,162500983
2020,148376359,162504086
2020,148376428,162499805
2020,148376472,162504236
2020,138292547,152398824
2020,148380927,162499877
2020,138293571,152399892
2020,148388243,162506823
2020,148388687,162512133
2020,148381165,162504500
2020,148381165,162504501
2020,148381204,162500111
2020,148381328,162504614
2020,148381938,162505309
2020,148377546,162505649
2020,148377596,162505732
2020,148382640,162506027
2020,148382651,162506341
2020,148382652,162506339
2020,148382678,162506359
2020,148382709,162506121
2020,148382812,162511226
2020,148382984,162511225
2020,148382811,162511225
2020,148382835,162506428
2020,148382791,162511217
2020,148382888,162511292
2020,148382882,162511290
2020,148383017,162506501
