"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,16,136261564,1,11,16345320
2020,5,136261797,1,11,16345342
2020,5,136265193,20,1,16348641
2020,12,136265835,8,1,16348711
2020,10,136266694,1,11,16345474
2020,8,136266755,4,9,16345479
2020,5,136266796,5,1,16348792
2020,5,136267269,1,1,16345531
2020,8,136268111,1,11,16348956
2020,12,136264332,1,11,16345602
2020,5,136264516,1,11,16345644
2020,5,136268478,1,11,16348992
2020,5,136268857,1,11,16345685
2020,5,136269960,1,11,16345700
2020,5,136269108,1,11,16349072
2020,8,136270054,1,11,16345719
2020,5,136269195,18,1,16349089
2020,5,136269449,1,11,16349138
2020,12,136270351,1.13,1,16345766
2020,5,128234203,6.2,1,14765472
2020,5,136203646,1.32,1,16336965
2020,5,136210957,20,1,16339331
2020,5,136204098,3.5,1,16337007
2020,12,136204119,0.4,1,16337011
2020,5,136204224,5,1,16337023
2020,5,136204269,4,1,16337030
2020,12,136204341,1.2,1,16339354
2020,5,136204482,112,1,16339386
2020,5,136204500,1.5,1,16337074
2020,5,136214725,2.06,1,16337134
2020,5,136214781,1.6,1,16339478
2020,16,136211857,18,9,16339492
2020,16,136215020,8,9,16337180
2020,12,136215382,1,11,16339575
2020,12,136215676,1,9,16337256
2020,1,136212938,1,11,16339626
2020,17,136215916,5,9,16337291
2020,12,136216104,0.5,1,16337312
2020,5,136216357,1,1,16337338
2020,12,136216552,1,11,16337352
2020,5,136216686,14.7,1,16339757
2020,5,136216835,1,11,16337384
2020,5,136216978,1.78,1,16337399
2020,5,136217095,0.6,1,16337413
2020,5,136219930,1,9,16339838
2020,5,136219940,3,1,16339839
2020,5,136220069,1,1,16339852
2020,5,136220074,1,1,16339853
2020,12,136217475,3.2,1,16339865
2020,5,136217797,1,1,16339929
2020,5,136217855,1,11,16339941
2020,5,136220620,13,1,16342509
2020,1,136218174,0.75,1,16342549
2020,5,136221274,4.5,1,16340046
2020,5,136221386,5.5,1,16340058
2020,4,136218851,1,11,16340120
2020,5,136222139,94.8,1,16340170
2020,12,136222272,0.6,1,16340190
2020,4,136219371,0.14,1,16342706
2020,5,136222907,1,11,16340277
2020,16,136223139,1,11,16340313
2020,8,136224976,7,9,16340321
2020,5,136223264,1.5,1,16340328
2020,4,136223813,1.1,1,16340411
2020,5,136225766,2,1,16342905
2020,5,136224266,2,1,16340484
2020,5,136225775,2.9,1,16342907
2020,1,136225959,1,1,16342935
2020,4,136226002,0.97,1,16340550
2020,5,136226100,0.1,1,16342956
2020,12,136226512,1,11,16343024
2020,16,136230340,1,11,16343034
2020,17,136227080,,,16340794
2020,5,136230606,124.7,1,16340715
2020,12,136226907,0.1,1,16340740
2020,2,136227190,2.2,1,16340831
2020,4,136227332,9.1,1,16340858
2020,12,136227355,0.8,1,16343158
2020,5,136227403,0.84,1,16340886
2020,5,136231614,0.5,1,16340916
2020,5,136231625,3.1,1,16343199
2020,12,136232007,1,1,16341002
2020,8,136227874,1,11,16341015
2020,5,136228219,8,1,16343335
2020,12,136232564,1,1,16341096
2020,5,136228454,75.7,1,16343369
2020,5,136237751,1,1,16342095
2020,12,136243636,1,1,16344165
2020,5,136237955,3.8,1,16344192
2020,5,136238277,1.5,1,16342170
2020,5,136244512,9.5,1,16342192
2020,12,136238982,90,1,16344323
2020,5,136239102,1.4,1,16344340
2020,12,136245645,1,9,16342368
2020,5,136245804,1,1,16344359
2020,5,136246702,1,1,16347532
2020,16,136250054,3,9,16347547
2020,5,136250265,69.2,1,16347596
2020,4,136250403,0.3,1,16347621
2020,5,136250656,1,1,16347698
2020,5,136250736,1,1,16344586
2020,5,136250876,0.6,1,16347737
2020,5,136251640,1,11,16344713
2020,5,136252573,1,11,16347981
2020,5,136254947,5,1,16344816
2020,10,136252734,1,11,16344820
2020,5,136253094,1.4,1,16348047
2020,5,136253235,4,1,16344874
2020,12,136255722,4,1,16348101
2020,5,136256066,7,1,16348147
2020,5,136256800,0.4,1,16345002
2020,5,136256944,21.28,1,16348268
2020,4,136259587,1,1,16348340
2020,12,136259677,2.8,1,16345108
2020,5,136260104,6,1,16345184
2020,1,136646516,1,11,16417011
2020,12,136646090,1,1,16416874
2020,12,136642893,1.7,1,16416886
2020,9,136642918,0.009,1,16416894
2020,12,136646129,4.5,1,16412060
2020,8,136646250,1,9,16416944
2020,5,136643382,7.5,1,16416995
2020,12,136646485,7.4,1,16417005
2020,5,136643461,1,1,16417013
2020,5,136643499,1.51,1,16417016
2020,5,136643563,1.1,1,16417027
2020,5,136646629,9.4,1,16417035
2020,16,136643416,29,9,16412125
2020,5,136643457,9.5,1,16417012
2020,1,136646228,0.19,1,16416935
2020,5,136643284,88,1,16416981
2020,5,136646609,9.5,1,16417031
2020,5,136643672,9.3,1,16417044
2020,12,136266715,1,11,16345476
2020,2,136263251,1,11,16345480
2020,8,136266813,1,11,16345488
2020,5,136263454,1,11,16345509
2020,5,136267680,5,1,16348912
2020,5,136264207,5,1,16345590
2020,5,136268323,1,11,16348980
2020,5,136268652,1,11,16349010
2020,5,136269180,13,1,16345727
2020,17,136270140,1,1,16349102
2020,12,136270154,14,1,16349106
2020,16,136270409,1,9,16345777
2020,8,136270554,19,9,16345818
2020,5,136258119,5,1,16348468
2020,5,136260247,1,1,16345204
2020,4,136260432,0.5,1,16345219
2020,8,136261969,5,9,16348650
2020,5,136262442,19,1,16348708
2020,5,136266342,22,1,16348749
2020,5,136263330,1,11,16348804
2020,8,136267130,2,9,16348834
