"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,37605558,1,37920663
2020,37610238,1,37920664
2020,37610364,1,37920782
2020,37521974,1,37814872
2020,37517300,1,37822133
2020,37512835,1,37829954
2020,37522478,1,37825358
2020,37522487,1,37825367
2020,37522042,1,37824935
2020,37517366,1,37824976
2020,37522215,1,37822340
2020,37517525,1,37822378
2020,37522456,1,37825337
2020,37614979,1,37915845
2020,37517381,1,37822218
2020,37522210,1,37825094
2020,37512862,1,37822399
2020,37522246,1,37829982
2020,37517623,1,37822461
2020,37513207,1,37830324
2020,37513206,1,37825312
2020,37312780,1,37621779
2020,37316461,1,37617096
2020,37518160,1,37823007
2020,37518161,1,37823008
2020,37513681,1,37823009
2020,37523174,1,37826046
2020,37523373,1,37826272
2020,37523708,1,37826612
2020,37523707,1,37826611
2020,37523804,1,37826701
2020,37518254,1,37823090
2020,37514223,1,37831338
2020,37523094,1,37831520
2020,37518628,1,37825973
2020,37523150,1,37826019
2020,37524866,1,37831964
2020,37524947,1,37832048
2020,37523652,1,37826555
2020,37523653,1,37826556
2020,37523799,1,37832261
2020,37519380,1,37824215
2020,37519436,1,37824266
2020,37523972,1,37826864
2020,37525270,1,37826923
2020,37517372,1,37824985
2020,37517549,1,37822397
2020,37517583,5,37830033
2020,37513071,1,37825238
2020,37522479,1,37830415
2020,37518096,1,37822945
