"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136263128,4,400,19-OCT-20,153045170
2020,136229662,63,1,,152999872
2020,136226153,36,1,,152999947
2020,136231955,20,2914,,153003754
2020,136262010,19,1199,,153043798
2020,136265328,20,5000,,153040290
2020,136266711,63,50,,153041950
2020,136266711,16,100,,153041947
2020,136263215,19,12,,153041955
2020,136263276,6,240,,153042040
2020,136263276,26,1500,,153042051
2020,136226188,10,,,152996117
2020,136263213,63,5,,153045272
2020,136266711,23,100,,153041948
2020,136266711,26,1700,,153041949
2020,136226189,11,1,,152999990
2020,136226310,63,61,,152996302
2020,136263317,36,3000,,153045398
2020,136266915,17,2000,,153042161
2020,136266915,61,1000,,153042167
2020,136226373,10,,,152996419
2020,136226373,11,10,,153000247
2020,136266915,26,1160,,153045447
2020,136266915,7,2500,,153045441
2020,136266915,6,3000,,153042154
2020,136266915,16,120,,153045443
2020,136263452,63,210,,153045555
2020,136263452,26,800,,153042319
2020,136230043,3,1200,,152996409
2020,136267153,63,1,,153047496
2020,136267540,11,1,,153047937
2020,136263887,63,1,,153046011
2020,136267623,17,1000,,153046076
2020,136263970,20,40,,153048057
2020,136267674,13,1,,153048093
2020,136230043,38,1200,,152996410
2020,136230153,10,,,152996551
2020,136267674,10,,,153048092
2020,136267695,10,,,153048116
2020,136264024,3,1,24-JUN-20,153046162
2020,136230153,11,10,,152996552
2020,136267711,11,1,,153048140
2020,136264032,3,1,,153046168
2020,136267711,10,,,153046165
2020,136264131,10,,,153048277
2020,136267966,4,150,,153048425
2020,136267991,11,1,,153048464
2020,136226478,10,,,152996588
2020,136267991,10,,,153048463
2020,136268037,19,25,,153048515
2020,136226534,38,1000,,153000475
2020,136268115,16,250,,153048595
2020,136226656,63,14,,153000605
2020,136230474,63,20,05-OCT-20,152996950
2020,136268135,63,300,,153048621
2020,136264352,10,,,153048657
2020,136264498,63,1,,153048888
2020,136264507,8,3,,153046739
2020,136268379,10,,,153046737
2020,136268419,13,1,,153048947
2020,136268419,8,1,,153048945
2020,136268417,29,1,,153048944
2020,136226680,63,200,,153000640
2020,136226719,10,,,152996994
2020,136226719,11,1,,153000678
2020,136226772,29,100,,152997096
2020,136268496,29,350,,153049030
2020,136269602,10,,,153046866
2020,136226773,13,1000,,153000742
2020,136269726,63,1,27-APR-20,153047006
2020,136230628,17,1150,,153000748
2020,136268703,63,1,,153047007
2020,136230632,61,600,,152997144
2020,136230632,54,1258,,153000758
2020,136230632,7,180,,152997093
2020,136230632,13,2385,,153000754
2020,136230632,19,454,,153000755
2020,136230632,58,2383,,152997143
2020,136230632,66,120,,152997146
2020,136230632,17,17221,,152997135
2020,136230632,63,2112,,152997145
2020,136230632,26,770,,153000756
2020,136230646,11,1,,153000779
2020,136230646,10,,,152997175
2020,136230667,26,280,,152997196
2020,136226932,10,,,153002362
2020,136230840,28,10000,,153002395
2020,136227111,63,4000,,153001135
2020,136227113,3,25000,,153001147
2020,136231217,63,1,,153001266
2020,136227280,63,200,,153002920
2020,136231283,10,,,153002941
2020,136231283,11,5,,153001342
2020,136231373,10,,,153001406
2020,136231345,10,,,153003001
2020,136231375,19,190,,153001417
2020,136227333,19,190,25-FEB-20,153001392
2020,136227353,10,,,153003000
2020,136227325,19,1,,153002988
2020,136227554,30,200,,153001690
2020,136227599,63,800,,153001745
2020,136231746,54,400,,153003487
2020,136231770,19,140,18-MAR-20,153003521
2020,136227647,19,140,,153003522
2020,136227676,26,350,,153003563
2020,136231888,59,25,31-DEC-20,153003676
2020,136231891,59,25,,153003678
2020,136232270,63,50,,153004125
2020,136268821,7,1,,153049414
2020,136245381,20,362,,153023669
2020,136242266,64,12000,18-NOV-20,153015126
2020,136236807,64,12000,,153015131
2020,136236807,19,2,,153011909
2020,136236807,3,13000,,153015127
2020,136245380,20,202,07-NOV-20,153023660
2020,136239056,61,500,,153019468
2020,136239081,10,,,153019504
2020,136245726,20,762,,153024103
2020,136239257,3,1000,,153019731
2020,136239281,29,1,,153024198
2020,136239287,26,1,,153019764
2020,136239287,63,7,,153024211
2020,136245829,20,200,,153024206
2020,136239301,13,230,,153019762
2020,136245893,63,1500,,153024287
2020,136245935,63,500,,153024343
2020,136245988,36,775,,153019920
2020,136245988,63,2170,,153019921
2020,136246018,63,200,,153019892
2020,136246018,25,200,,153024363
