"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41831109,135418118,1,03-SEP-20,2,"N",47,5,20,"F",2,2,"U","","",20,0
2020,41827555,135421900,1,22-SEP-20,3,"C",51,5,16,"M",2,,"","H","",16,0
2020,41827699,135422068,1,09-AUG-20,2,"N",47,5,21,"M",1,2,"U","","",21,0
2020,41827700,135422068,2,09-AUG-20,2,"N",47,5,18,"F",1,2,"U","","",18,0
2020,41827748,135418596,1,25-AUG-20,3,"N",16,5,54,"M",1,2,"R","","",54,0
2020,41827792,135422231,1,01-NOV-20,1,"N",27,5,31,"F",2,2,"R","","",31,0
2020,41831308,135422278,1,23-OCT-20,2,"N",45,5,30,"M",1,2,"U","","",30,0
2020,41827848,135422309,1,01-DEC-20,2,"N",47,5,47,"F",1,2,"R","","",47,0
2020,41827871,135422344,1,30-NOV-20,2,"N",51,5,36,"M",2,2,"N","","",36,0
2020,41827901,135418921,1,25-DEC-20,2,"N",16,5,25,"M",2,2,"R","","",25,0
2020,41827636,135418306,1,16-DEC-20,1,"N",16,5,50,"M",2,,"R","","",50,0
2020,41827655,135421999,1,13-DEC-20,3,"N",27,5,33,"M",1,2,"N","","",33,0
2020,41831309,135418744,1,20-OCT-20,2,"N",47,5,31,"F",1,2,"U","","",31,0
2020,41827834,135422295,1,18-NOV-20,1,"N",27,5,40,"M",2,2,"R","","",40,0
2020,41827861,135422328,1,28-NOV-20,2,"N",23,5,45,"M",1,2,"N","","",45,0
2020,41827910,135418940,1,03-NOV-20,2,"N",47,5,61,"M",2,2,"U","","",61,0
2020,41699929,134946422,1,04-OCT-20,1,"N",16,5,59,"M",1,2,"R","","",59,0
2020,41699993,134946636,1,18-JUN-20,1,"N",45,5,48,"M",1,2,"R","","",48,0
2020,41699230,134943728,1,13-FEB-20,1,"C",44,5,34,"M",1,,"R","","",34,0
2020,41699218,134946771,1,13-AUG-20,1,"N",27,5,27,"F",1,2,"N","","",27,0
2020,41700022,134943737,1,13-AUG-20,3,"N",16,5,39,"M",1,2,"R","","",39,0
2020,41699261,134946832,1,20-JUN-20,1,"N",51,5,30,"M",1,2,"R","","",30,0
2020,41700074,134943816,1,18-SEP-20,2,"N",49,5,28,"F",1,2,"R","","",28,0
2020,41699368,134943940,2,09-OCT-20,3,"N",14,5,18,"M",1,2,"R","","",18,0
2020,41699366,134943940,1,15-SEP-20,3,"N",14,5,18,"M",2,2,"R","","",18,0
2020,41699354,134947047,1,15-FEB-20,2,"N",45,5,26,"F",1,2,"R","","",26,0
2020,41699356,134947047,3,15-FEB-20,2,"N",45,5,19,"M",1,2,"R","","",19,0
2020,41699426,134944032,2,27-JUN-20,2,"N",51,5,39,"M",2,2,"R","","",39,0
2020,41699452,134944073,1,21-AUG-20,1,"N",28,5,25,"F",1,2,"R","","",25,0
2020,41699459,134947209,1,23-APR-20,3,"N",51,5,21,"F",1,2,"R","","",21,0
2020,41704546,134947421,1,25-AUG-20,1,"N",45,5,49,"F",1,2,"N","","",49,0
2020,41700293,134944238,1,02-OCT-20,1,"N",51,5,39,"M",1,2,"R","","",39,0
2020,41700313,134947436,1,14-DEC-20,2,"N",8,5,20,"M",1,2,"R","","",20,0
2020,41700316,134947436,2,14-DEC-20,2,"N",8,5,38,"F",1,2,"R","","",38,0
2020,41699502,134944282,2,22-AUG-20,1,"N",23,5,30,"M",1,2,"R","","",30,0
2020,41699483,134944282,1,22-AUG-20,1,"N",23,5,27,"F",1,2,"R","","",27,0
2020,41704694,134947723,1,11-JUN-20,3,"N",27,5,34,"M",1,2,"R","","",34,0
2020,41700453,134944615,1,18-NOV-20,1,"N",45,5,24,"F",2,2,"R","","",24,0
2020,41704784,134944685,1,21-FEB-20,2,"C",45,5,24,"F",2,2,"R","","",24,0
2020,41700516,134944796,1,21-FEB-20,1,"N",16,5,19,"F",2,2,"R","","",19,0
2020,41700560,134948138,1,22-FEB-20,1,"N",16,5,39,"F",2,,"N","","",39,0
2020,41704922,134944943,1,26-JUL-20,2,"N",51,5,34,"F",1,2,"R","","",34,0
2020,41704895,134944965,1,22-JAN-20,1,"N",51,5,10,"M",2,2,"R","R","",10,0
2020,41705106,134948732,1,26-FEB-20,2,"N",45,5,27,"M",2,2,"R","","",27,0
2020,41705079,134945321,1,01-JUL-20,2,"N",16,5,21,"F",1,2,"R","","",21,0
2020,41705264,134945520,1,18-MAR-20,1,"M",45,5,30,"M",1,2,"R","","",30,0
2020,41701009,134949484,1,25-JUL-20,2,"N",44,5,49,"M",1,2,"R","","",49,0
2020,41701037,134949592,1,03-DEC-20,1,"N",51,5,18,"M",1,2,"R","","",18,0
2020,41705624,134951135,1,05-DEC-20,1,"N",51,5,27,"M",1,2,"R","","",27,0
2020,41701155,134949921,1,06-DEC-20,2,"N",45,5,51,"M",2,2,"R","","",51,0
2020,41701152,134949946,1,09-JAN-20,1,"N",16,5,26,"M",1,2,"R","","",26,0
2020,41827487,135421793,1,27-NOV-20,2,"N",16,5,31,"M",1,2,"U","","",31,0
2020,41831174,135421958,1,10-DEC-20,1,"N",16,5,42,"M",2,,"R","","",42,0
2020,41827711,135422108,1,13-AUG-20,2,"N",16,5,34,"F",1,2,"R","","",34,0
2020,41827734,135418564,2,20-AUG-20,2,"N",16,5,19,"M",2,2,"R","","",19,0
2020,41831304,135422271,1,11-NOV-20,3,"N",44,5,26,"M",1,2,"R","","",26,0
2020,41827832,135418765,1,23-OCT-20,2,"N",16,5,28,"M",2,2,"R","","",28,0
2020,41827833,135422294,1,18-NOV-20,1,"N",27,5,39,"M",2,2,"R","","",39,0
2020,41827903,135418926,1,27-DEC-20,2,"N",16,5,27,"M",2,2,"R","","",27,0
2020,41827918,135422442,1,14-NOV-20,1,"N",16,5,23,"M",1,2,"R","","",23,0
2020,41831184,135421979,1,25-SEP-20,1,"N",16,5,30,"M",1,2,"R","","",30,0
2020,41831111,135418127,1,06-SEP-20,1,"N",16,5,37,"M",2,2,"R","","",37,0
2020,41831173,135418314,1,17-DEC-20,1,"N",16,5,41,"M",2,,"N","","",41,0
2020,41831254,135422169,1,27-AUG-20,2,"N",45,5,38,"M",1,2,"U","","",38,0
2020,41699092,134946408,1,10-FEB-20,1,"N",16,5,22,"F",2,2,"R","","",22,0
2020,41699931,134943464,2,11-FEB-20,2,"N",35,5,43,"M",2,2,"R","","",43,0
2020,41699104,134943464,1,11-FEB-20,2,"N",16,5,39,"F",1,2,"R","","",39,0
2020,41699226,134946748,1,13-FEB-20,2,"N",45,5,44,"M",1,2,"R","","",44,0
2020,41699263,134943799,1,19-SEP-20,1,"C",35,5,25,"M",1,2,"R","","",25,0
2020,41699278,134943814,1,11-SEP-20,3,"M",49,5,23,"M",1,2,"R","","",23,0
2020,41700091,134943868,1,14-AUG-20,2,"N",23,5,60,"M",2,2,"R","","",60,0
2020,41699350,134947025,1,16-FEB-20,1,"N",27,5,26,"M",2,2,"R","","",26,0
2020,41699438,134947162,1,28-JUN-20,1,"C",51,5,23,"M",2,2,"R","","",23,0
2020,41700222,134944079,1,03-SEP-20,3,"N",16,5,23,"M",1,2,"R","","",23,0
2020,41704564,134947464,1,04-JUL-20,1,"N",45,5,16,"M",2,2,"N","R","",16,0
2020,41704745,134944637,1,18-NOV-20,1,"N",16,5,20,"M",2,3,"U","","",20,0
2020,41700416,134944515,1,01-DEC-20,2,"N",5,5,15,"M",2,2,"R","R","",15,0
2020,41700427,134947795,1,09-NOV-20,3,"N",51,5,21,"M",2,2,"U","","",21,0
2020,41704781,134944696,1,13-NOV-20,3,"N",51,5,18,"F",1,2,"R","","",18,0
2020,41704782,134944696,2,13-NOV-20,3,"N",51,5,20,"F",1,2,"R","","",20,0
2020,41700471,134948000,1,03-DEC-20,1,"N",51,5,33,"F",1,2,"U","","",33,0
2020,41704801,134948001,1,22-NOV-20,1,"N",23,5,37,"M",2,2,"R","","",37,0
