"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,136248239,134971920,3,,
2020,136248321,134972022,6,,
2020,136248383,134970444,7,,
2020,136251398,134970444,5,,
2020,136251433,134970487,7,,
2020,136251406,134970462,6,,
2020,136251616,134970672,6,,
2020,136248574,134972382,7,,
2020,136251684,134970754,7,,
2020,136251718,134970790,6,,
2020,136251695,134970801,4,,
2020,136248691,134970854,4,,
2020,136248674,134972494,4,,
2020,136248677,134972494,7,,
2020,136251797,134972546,7,,
2020,136251836,134970918,7,,
2020,136248768,134972581,7,,
2020,136248802,134972588,7,,
2020,136248852,134972661,7,,
2020,136251849,134972661,5,,
2020,136251910,134971013,7,,
2020,136251906,134971013,6,,
2020,136251897,134971013,5,,
2020,136248888,134972687,6,,
2020,136248976,134976104,4,,
2020,136248944,134976161,5,,
2020,136251960,134976161,7,,
2020,136249081,134972876,4,,
2020,136249123,134972900,6,,
2020,136252089,134972919,7,,
2020,136252084,134972919,5,,
2020,136252099,134972934,7,,
2020,136249184,134972955,7,,
2020,136249182,134972955,5,,
2020,136249177,134972950,7,,
2020,136249175,134972950,5,,
2020,136249258,134976295,4,,
2020,136249321,134976343,4,,
2020,136249345,134976368,5,,
2020,136249353,134976368,7,,
2020,136249423,134976437,4,,
2020,136252350,134976461,4,,
2020,136252360,134976471,7,,
2020,136249467,134973281,7,,
2020,136252409,134973336,7,,
2020,136249560,134973383,7,1,
2020,136252465,134973406,7,,
2020,136252458,134976593,7,,
2020,136249572,134976593,5,,
2020,136254600,134976603,4,,
2020,136252474,134976603,7,,
2020,136252473,134976603,5,,
2020,136254608,134973426,4,,
2020,136252498,134973463,7,,
2020,136254637,134973465,7,,
2020,136254697,134976665,7,,
2020,136254795,134976736,4,,
2020,136254813,134976752,4,,
2020,136254810,134976753,5,,
2020,136252605,134976753,7,,
2020,136246134,134964492,7,1,
2020,136246083,134964492,5,,1
2020,136249577,134968504,6,,
2020,136246277,134964655,7,,
2020,136249660,134968607,7,,
2020,136246311,134968607,5,,
2020,136246321,134968629,7,,
2020,136246423,134968705,7,,
2020,136249766,134964792,7,,
2020,136249767,134968716,5,,1
2020,136249768,134968716,7,1,
2020,136246443,134968721,6,,
2020,136249792,134964825,6,,
2020,136246468,134964840,5,,
2020,136246478,134964840,7,,
2020,136249805,134968747,7,,
2020,136246482,134964846,7,,
2020,136246497,134964875,5,,1
2020,136249818,134964875,7,1,
2020,136249841,134968773,7,,
2020,136246546,134964922,6,,
2020,136246537,134968800,4,,
2020,136249925,134964999,7,,
2020,136249910,134965029,6,,
2020,136246655,134965053,5,,
2020,136246659,134965053,7,,
2020,136246674,134968911,4,,
2020,136246680,134968917,7,,
2020,136249984,134968921,7,,
2020,136249937,134968921,4,,
2020,136246701,134965095,7,,
2020,136249996,134968934,7,,
2020,136246754,134965156,1,,
2020,136246783,134965182,3,,
2020,124945611,122508615,4,,
2020,136250079,134965221,6,,
2020,124936890,122508905,7,,
2020,136246724,134969043,4,,
2020,136250095,134969043,7,,
2020,136246811,134965210,1,,
2020,136246907,134965318,4,,
2020,136250216,134969187,6,,
2020,124941152,122509074,7,,
2020,136250311,134969281,4,,
2020,124941233,122509160,7,,
2020,136247118,134965572,6,,
2020,136250357,134969332,7,,
2020,136247143,134965610,5,,
2020,136247144,134965610,7,,
2020,136247142,134965610,4,,
2020,136250350,134965615,7,,
2020,124937249,122509362,7,,
2020,136247168,134965641,7,,
2020,136247153,134965641,5,,
2020,136247196,134969360,7,,
2020,124937278,122509383,5,,
2020,124937279,122509383,7,,
2020,124941509,122509385,4,,
2020,136247201,134969368,7,,
2020,136250389,134969369,5,,
2020,136247203,134965689,7,,
2020,136250401,134969375,1,,
2020,136247216,134969375,7,,
2020,136247220,134965705,4,,
2020,136247231,134965723,1,,
2020,136247245,134969391,7,,
2020,136247259,134969407,4,,
2020,136250491,134969449,7,,
2020,136247308,134965818,7,,
2020,136247310,134965858,7,,
2020,136247352,134969507,4,,
2020,136247353,134969507,7,,
2020,136250534,134965872,5,,
2020,124941544,122513443,7,,
