data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,153624356,1.000,11,13434657
2022,5,153625875,15.400,1,13434741
2022,5,153625195,6.400,1,13434691
2022,16,149274096,1.000,9,12781122
2022,5,153624683,34.400,1,13434676
2022,5,153624557,11.800,1,13434669
2022,5,149274091,1.000,11,12781121
2022,5,149274118,1.000,11,12781123
2022,5,149274014,1.000,1,12781114
2022,5,153624367,2.000,1,13434658
2022,12,149274156,1.000,11,12781125
2022,5,153625079,119.000,1,13434687
2022,4,149274022,1.000,3,12781115
2022,5,149274043,54.000,1,12781116
2022,5,149274059,28.700,1,12781118
2022,5,153625375,29.100,1,13434704
2022,5,153626249,6.000,1,13434765
2022,12,153625940,0.010,1,13434743
2022,1,153624323,0.100,1,13434653
2022,5,156058203,3.000,9,13789810
2022,5,149274061,1.000,1,12781119
2022,4,153624581,3.200,1,13434674
2022,5,149274085,1.000,11,12781120
2022,5,153624085,6.400,1,13434640
2022,5,149274276,1.000,1,12781135
2022,5,153626071,1.200,1,13434752
2022,5,153626166,6.000,1,13434758
2022,5,163167106,1.000,1,14753365
2022,5,153624387,42.000,1,13434660
2022,16,153625555,72.000,9,13434725
2022,12,153624403,0.500,1,13434662
2022,5,149274175,1.000,1,12781127
2022,4,153626262,1.000,11,13434766
2022,8,153626030,5.000,9,13434750
2022,4,149274209,1.000,11,12781130
2022,5,153626198,7.700,1,13434759
2022,5,153625504,2.700,1,13434717
2022,5,153625412,2.000,1,13434708
2022,5,153625364,2.600,1,13434703
2022,4,149274329,1.000,3,12781140
2022,5,153625966,4.600,1,13434746
2022,16,153625388,375.000,5,13434706
2022,5,153624150,8.300,1,13434644
2022,5,153626322,8.600,1,13434769
2022,11,149274286,2.000,1,12781136
2022,5,153625439,3.000,1,13434709
2022,5,153625692,192.000,1,13434733
2022,5,153625478,2.800,1,13434712
2022,16,153625553,3.000,9,13434723
2022,5,153625309,1.500,1,13434702
2022,5,153625258,4.000,1,13434697
2022,1,149274258,30.000,9,12781133
2022,5,153624685,30.000,1,13434677
2022,5,149274205,1.000,1,12781129
2022,5,153624738,8.000,1,13434680
2022,5,149274221,1.000,1,12781131
2022,1,153624377,10.000,1,13434659
2022,1,149274305,1.000,1,12781137
2022,17,149274354,1.000,11,12781144
2022,5,149274263,1.100,1,12781134
2022,5,149274252,1.000,1,12781132
2022,5,149274340,1.000,11,12781142
2022,12,149274319,42.000,1,12781139
2022,5,161321753,1.000,1,14523960
2022,5,156264689,1.000,1,13818034
2022,5,153624198,5.000,1,13434646
2022,5,153624222,21.700,1,13434647
2022,5,156264728,1.000,1,13818039
2022,5,156264761,1.000,1,13818042
2022,1,156264599,1.000,11,13818028
2022,1,153625554,3.000,9,13434724
2022,5,153624724,0.450,1,13434678
2022,5,156264734,1.000,9,13818040
2022,5,163168360,75.300,1,14753450
2022,5,153626208,0.500,1,13434760
2022,5,153626265,22.750,1,13434767
2022,2,156264704,1.000,11,13818036
2022,5,153624094,24.180,1,13434641
2022,5,156264721,1.000,1,13818037
2022,5,156057611,8.600,1,13789748
2022,8,153626304,2.000,9,13434768
2022,5,156056037,14.900,1,13789620
2022,5,156057729,3.200,1,13789760
2022,4,156056352,0.600,1,13789641
2022,5,156058112,2.480,1,13789804
2022,5,156056088,6.280,1,13789626
2022,2,156056265,1.000,1,13789638
2022,5,156057947,73.000,1,13789784
2022,5,156057524,8.000,1,13789741
2022,1,156264766,1.000,11,13818043
2022,1,156264625,1.000,1,13818032
2022,5,156264691,1.000,11,13818035
2022,4,156264726,1.000,9,13818038
2022,5,156264612,73.200,1,13818029
